,commodity,country,imports,country_code,latitude,longitude,code country
2,01 Meat & meat preparations,Australia,226.85,AU,-25.274398,133.775136,AU Australia
3,01 Meat & meat preparations,Belgium,780.4300000000001,BE,50.503887,4.469936,BE Belgium
4,01 Meat & meat preparations,Brazil,986.05,BR,-14.235004,-51.92528,BR Brazil
5,01 Meat & meat preparations,Denmark,1910.3600000000001,DK,56.26392,9.501785,DK Denmark
6,01 Meat & meat preparations,France,843.32,FR,46.227638,2.213749,FR France
7,01 Meat & meat preparations,Germany,2749.56,DE,51.165691,10.451526,DE Germany
8,01 Meat & meat preparations,Hungary,154.70999999999998,HU,47.162494,19.503304,HU Hungary
9,01 Meat & meat preparations,Ireland,6012.37,IE,53.41291,-8.24389,IE Ireland
10,01 Meat & meat preparations,Italy,736.22,IT,41.87194,12.56738,IT Italy
11,01 Meat & meat preparations,Netherlands,3761.53,NL,52.132633,5.291266,NL Netherlands
12,01 Meat & meat preparations,New Zealand,954.58,NZ,-40.900557,174.885971,NZ New Zealand
13,01 Meat & meat preparations,Poland,2748.81,PL,51.919438,19.145136,PL Poland
14,01 Meat & meat preparations,Spain,820.97,ES,40.463667,-3.74922,ES Spain
15,01 Meat & meat preparations,Thailand,1895.45,TH,15.870032,100.992541,TH Thailand
