country,commodity,total2018,total2019,total2020,total2021,country_code,latitude,longitude,code country
Belgium,01 Meat & meat preparations,183.5,194.21,154.88,247.84,BE,50.503887,4.469936,BE Belgium
Brazil,01 Meat & meat preparations,240.57,245.06,239.66,260.76,BR,-14.235004,-51.92528,BR Brazil
Germany,01 Meat & meat preparations,702.91,727.03,741,578.62,DE,51.165691,10.451526,DE Germany
Spain,01 Meat & meat preparations,190.69,213.93,223.38,192.97,ES,40.463667,-3.74922,ES Spain
France,01 Meat & meat preparations,216.64,221.9,200.52,204.26,FR,46.227638,2.213749,FR France
Ireland,01 Meat & meat preparations,1656.2,1562.04,1479.95,1314.18,IE,53.41291,-8.24389,IE Ireland
Italy,01 Meat & meat preparations,189.6,185.28,182.71,178.63,IT,41.87194,12.56738,IT Italy
Netherlands,01 Meat & meat preparations,1060.65,1052.22,898.51,750.15,NL,52.132633,5.291266,NL Netherlands
New Zealand,01 Meat & meat preparations,290.59,229.94,232.64,201.41,NZ,-40.900557,174.885971,NZ New Zealand
Thailand,01 Meat & meat preparations,499.37,520.76,476.14,399.18,TH,15.870032,100.992541,TH Thailand
